日期|时间,三峡入库流量,三峡出库流量,三峡上游水位,三峡下游水位
2005-01-01|00时,,6750,138.60,64.75
2005-01-01|01时,,,138.63,64.81
2005-01-01|02时,5500,5220,138.68,64.75
2005-01-01|03时,,,138.68,64.79
2005-01-01|04时,,5130,138.67,64.74
2005-01-01|05时,,,138.64,64.79
2005-01-01|06时,,5140,138.63,64.86
2005-01-01|07时,,,138.66,64.86
2005-01-01|08时,5500,5140,138.62,64.91
2005-01-01|09时,,,138.60,64.95
2005-01-01|10时,,5540,138.60,64.90
2005-01-01|11时,,,138.57,64.93
2005-01-01|12时,,5820,138.56,64.94
2005-01-01|13时,,,138.60,64.91
2005-01-01|14时,5500,5170,138.62,64.95
2005-01-01|15时,,,138.62,64.86
2005-01-01|16时,,5160,138.64,64.88
2005-01-01|17时,,,138.67,64.92
2005-01-01|18时,,5550,138.64,64.96
2005-01-01|19时,,,138.62,65.04
2005-01-01|20时,5500,6200,138.60,64.93
2005-01-01|21时,,,138.62,64.92
2005-01-01|22时,,5170,138.68,64.81
2005-01-01|23时,,,138.68,64.75
